school,district,school_year,enrollment,category,reason,description,date_description,year,days,cds_code,county
Lagunitas Elementary,Lagunitas Elementary,2016-17,174,Natural Disasters & Weather,Inclement Weather,"Severe road conditions, power outage at school from weather","February 7 and 9, 2017",2017,2,2.16536E+13,Marin
San Geronimo Valley Elementary,Lagunitas Elementary,2014-15,100,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,2.16536E+13,Marin
San Geronimo Valley Elementary,Lagunitas Elementary,2016-17,87,Natural Disasters & Weather,Inclement Weather,"Severe road conditions, power outage at school from weather","February 7 and 9, 2017",2017,2,2.16536E+13,Marin
Clearlake Creativity,Lake County Office of Education,2014-15,16,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,,Lake
Lloyd Hance Community,Lake County Office of Education,2014-15,24,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,,Lake
Lake Elementary,Lake Elementary,2014-15,173,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.1626E+13,Glenn
Elsinore High,Lake Elsinore Unified,2004-05,2606,Natural Disasters & Weather,Inclement Weather,Excessive rain water flooded school and construction zone surrounding electric transformer with water. Hazardous conditions for students.,20-Oct-04,2004,1,3.37518E+13,Riverside
Al Tahoe Elementary,Lake Tahoe Unified,2002-03,484,Natural Disasters & Weather,Inclement Weather,Powerful winter storms caused power outages and blocked roadways.,"December 19 and 20, 2003",2003,2,9.61904E+12,El Dorado
Bijou Community,Lake Tahoe Unified,2002-03,511,Natural Disasters & Weather,Inclement Weather,Powerful winter storms caused power outages and blocked roadways.,"December 19 and 20, 2003",2003,2,9.61904E+12,El Dorado
Bijou Community,Lake Tahoe Unified,2004-05,611,Natural Disasters & Weather,Inclement Weather,Series of winter storms forced the school to close and use all of their snow days built into their school calendar,11-Jan-05,2005,1,9.61904E+12,El Dorado
Bijou Community,Lake Tahoe Unified,2007-08,494,Natural Disasters & Weather,Inclement Weather,heavy snow storm,25-Feb-08,2008,1,9.61904E+12,El Dorado
Bijou Community,Lake Tahoe Unified,2014-15,582,Natural Disasters & Weather,Pineapple Express,"""Pineapple Express"" - Severe winter storm caused widespread power outages.",12-Dec-14,2014,1,9.61904E+12,El Dorado
Bijou Community,Lake Tahoe Unified,2016-17,615,Natural Disasters & Weather,Inclement Weather,"School Closure due to state of emergency; winter storm, heavy snow, rain. Requested seven days; January 9-13, and January 23-24, 2017. Approving five days and asking them to use 2 built in snow days.","January 11-13, and January 23-24, 2017",2017,5,9.61904E+12,El Dorado
Lake Tahoe Environmental Science Magnet,Lake Tahoe Unified,2007-08,354,Natural Disasters & Weather,Inclement Weather,heavy snow storm,25-Feb-08,2008,1,9.61903E+12,El Dorado
Lake Tahoe Environmental Science Magnet,Lake Tahoe Unified,2014-15,397,Natural Disasters & Weather,Pineapple Express,"""Pineapple Express"" - Severe winter storm caused widespread power outages.",12-Dec-14,2014,1,9.61903E+12,El Dorado
Lake Tahoe Environmental Science Magnet,Lake Tahoe Unified,2016-17,398,Natural Disasters & Weather,Inclement Weather,"School Closure due to state of emergency; winter storm, heavy snow, rain. Requested seven days; January 9-13, and January 23-24, 2017. Approving five days and asking them to use 2 built in snow days.","January 11-13, and January 23-24, 2017",2017,5,9.61903E+12,El Dorado
Meyers Elementary,Lake Tahoe Unified,2002-03,426,Natural Disasters & Weather,Inclement Weather,Powerful winter storms caused power outages and blocked roadways.,"December 19 and 20, 2003",2003,2,9.61904E+12,El Dorado
Mt. Tallac High,Lake Tahoe Unified,2002-03,31,Natural Disasters & Weather,Inclement Weather,Powerful winter storms caused power outages and blocked roadways.,"December 19 and 20, 2003",2003,2,9.61903E+12,El Dorado
Mt. Tallac High,Lake Tahoe Unified,2004-05,59,Natural Disasters & Weather,Inclement Weather,Series of winter storms forced the school to close and use all of their snow days built into their school calendar,11-Jan-05,2005,1,9.61903E+12,El Dorado
Mt. Tallac High,Lake Tahoe Unified,2007-08,91,Natural Disasters & Weather,Inclement Weather,heavy snow storm,25-Feb-08,2008,1,9.61903E+12,El Dorado
Mt. Tallac High,Lake Tahoe Unified,2007-08,91,Natural Disasters & Weather,Inclement Weather,Power outage caused by severe winter storms,8-Jan-08,2008,1,9.61903E+12,El Dorado
Mt. Tallac High,Lake Tahoe Unified,2014-15,87,Natural Disasters & Weather,Pineapple Express,"""Pineapple Express"" - Severe winter storm caused widespread power outages.",12-Dec-14,2014,1,9.61903E+12,El Dorado
Mt. Tallac High,Lake Tahoe Unified,2016-17,70,Natural Disasters & Weather,Inclement Weather,"School Closure due to state of emergency; winter storm, heavy snow, rain. Requested seven days; January 9-13, and January 23-24, 2017. Approving five days and asking them to use 2 built in snow days.","January 11-13, and January 23-24, 2017",2017,5,9.61903E+12,El Dorado
Sierra House Elementary,Lake Tahoe Unified,2002-03,402,Natural Disasters & Weather,Inclement Weather,Powerful winter storms caused power outages and blocked roadways.,"December 19 and 20, 2003",2003,2,9.61904E+12,El Dorado
Sierra House Elementary,Lake Tahoe Unified,2004-05,641,Natural Disasters & Weather,Inclement Weather,Series of winter storms forced the school to close and use all of their snow days built into their school calendar,11-Jan-05,2005,1,9.61904E+12,El Dorado
Sierra House Elementary,Lake Tahoe Unified,2007-08,458,Natural Disasters & Weather,Inclement Weather,heavy snow storm,25-Feb-08,2008,1,9.61904E+12,El Dorado
Sierra House Elementary,Lake Tahoe Unified,2014-15,502,Natural Disasters & Weather,Pineapple Express,"""Pineapple Express"" - Severe winter storm caused widespread power outages.",12-Dec-14,2014,1,9.61904E+12,El Dorado
Sierra House Elementary,Lake Tahoe Unified,2016-17,500,Natural Disasters & Weather,Inclement Weather,"School Closure due to state of emergency; winter storm, heavy snow, rain. Requested seven days; January 9-13, and January 23-24, 2017. Approving five days and asking them to use 2 built in snow days.","January 11-13, and January 23-24, 2017",2017,5,9.61904E+12,El Dorado
South Tahoe High,Lake Tahoe Unified,2002-03,1600,Natural Disasters & Weather,Inclement Weather,Powerful winter storms caused power outages and blocked roadways.,"December 19 and 20, 2003",2003,2,9.61903E+12,El Dorado
South Tahoe High,Lake Tahoe Unified,2004-05,1588,Natural Disasters & Weather,Inclement Weather,Series of winter storms forced the school to close and use all of their snow days built into their school calendar,11-Jan-05,2005,1,9.61903E+12,El Dorado
South Tahoe High,Lake Tahoe Unified,2007-08,1363,Natural Disasters & Weather,Inclement Weather,heavy snow storm,25-Feb-08,2008,1,9.61903E+12,El Dorado
South Tahoe High,Lake Tahoe Unified,2007-08,1363,Natural Disasters & Weather,Inclement Weather,Power outage caused by severe winter storms,8-Jan-08,2008,1,9.61903E+12,El Dorado
South Tahoe High,Lake Tahoe Unified,2014-15,984,Natural Disasters & Weather,Pineapple Express,"""Pineapple Express"" - Severe winter storm caused widespread power outages.",12-Dec-14,2014,1,9.61903E+12,El Dorado
South Tahoe High,Lake Tahoe Unified,2016-17,1029,Natural Disasters & Weather,Inclement Weather,"School Closure due to state of emergency; winter storm, heavy snow, rain. Requested seven days; January 9-13, and January 23-24, 2017. Approving five days and asking them to use 2 built in snow days.","January 11-13, and January 23-24, 2017",2017,5,9.61903E+12,El Dorado
South Tahoe Middle,Lake Tahoe Unified,2002-03,1270,Natural Disasters & Weather,Inclement Weather,Powerful winter storms caused power outages and blocked roadways.,"December 19 and 20, 2003",2003,2,9.61904E+12,El Dorado
South Tahoe Middle,Lake Tahoe Unified,2004-05,1127,Natural Disasters & Weather,Inclement Weather,Series of winter storms forced the school to close and use all of their snow days built into their school calendar,11-Jan-05,2005,1,9.61904E+12,El Dorado
South Tahoe Middle,Lake Tahoe Unified,2007-08,963,Natural Disasters & Weather,Inclement Weather,heavy snow storm,25-Feb-08,2008,1,9.61904E+12,El Dorado
South Tahoe Middle,Lake Tahoe Unified,2014-15,817,Natural Disasters & Weather,Pineapple Express,"""Pineapple Express"" - Severe winter storm caused widespread power outages.",12-Dec-14,2014,1,9.61904E+12,El Dorado
South Tahoe Middle,Lake Tahoe Unified,2016-17,889,Natural Disasters & Weather,Inclement Weather,"School Closure due to state of emergency; winter storm, heavy snow, rain. Requested seven days; January 9-13, and January 23-24, 2017. Approving five days and asking them to use 2 built in snow days.","January 11-13, and January 23-24, 2017",2017,5,9.61904E+12,El Dorado
Tahoe Valley Elementary,Lake Tahoe Unified,2002-03,472,Natural Disasters & Weather,Inclement Weather,Powerful winter storms caused power outages and blocked roadways.,"December 19 and 20, 2003",2003,2,9.61904E+12,El Dorado
Tahoe Valley Elementary,Lake Tahoe Unified,2004-05,729,Natural Disasters & Weather,Inclement Weather,Series of winter storms forced the school to close and use all of their snow days built into their school calendar,11-Jan-05,2005,1,9.61904E+12,El Dorado
Tahoe Valley Elementary,Lake Tahoe Unified,2007-08,412,Natural Disasters & Weather,Inclement Weather,heavy snow storm,25-Feb-08,2008,1,9.61904E+12,El Dorado
Tahoe Valley Elementary,Lake Tahoe Unified,2014-15,474,Natural Disasters & Weather,Pineapple Express,"""Pineapple Express"" - Severe winter storm caused widespread power outages.",12-Dec-14,2014,1,9.61904E+12,El Dorado
Tahoe Valley Elementary,Lake Tahoe Unified,2016-17,433,Natural Disasters & Weather,Inclement Weather,"School Closure due to state of emergency; winter storm, heavy snow, rain. Requested seven days; January 9-13, and January 23-24, 2017. Approving five days and asking them to use 2 built in snow days.","January 11-13, and January 23-24, 2017",2017,5,9.61904E+12,El Dorado
Transitional Learning Center,Lake Tahoe Unified,2007-08,47,Natural Disasters & Weather,Inclement Weather,Power outage caused by severe winter storms,8-Jan-08,2008,1,,El Dorado
Transitional Learning Center (Continuation),Lake Tahoe Unified,2002-03,42,Natural Disasters & Weather,Inclement Weather,Powerful winter storms caused power outages and blocked roadways.,"December 19 and 20, 2003",2003,2,9.61903E+12,El Dorado
Transitional Learning Center (Continuation),Lake Tahoe Unified,2004-05,16,Natural Disasters & Weather,Inclement Weather,Series of winter storms forced the school to close and use all of their snow days built into their school calendar,11-Jan-05,2005,1,9.61903E+12,El Dorado
Transitional Learning Center (Continuation),Lake Tahoe Unified,2007-08,47,Natural Disasters & Weather,Inclement Weather,heavy snow storm,25-Feb-08,2008,1,9.61903E+12,El Dorado
Transitional Learning Center (Continuation),Lake Tahoe Unified,2014-15,38,Natural Disasters & Weather,Pineapple Express,"""Pineapple Express"" - Severe winter storm caused widespread power outages.",12-Dec-14,2014,1,9.61903E+12,El Dorado
Transitional Learning Center (Continuation),Lake Tahoe Unified,2016-17,17,Natural Disasters & Weather,Inclement Weather,"School Closure due to state of emergency; winter storm, heavy snow, rain. Requested seven days; January 9-13, and January 23-24, 2017. Approving five days and asking them to use 2 built in snow days.","January 11-13, and January 23-24, 2017",2017,5,9.61903E+12,El Dorado
Clear Lake High,Lakeport Unified,2010-11,459,Natural Disasters & Weather,Inclement Weather,Heavy snow and impassable roads,25-Feb-11,2011,1,1.76403E+13,Lake
Clear Lake High,Lakeport Unified,2014-15,427,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm. Impassible roads due to flooding.,11-Dec-14,2014,1,1.76403E+13,Lake
Lakeport Alternative (Home School),Lakeport Unified,2014-15,55,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm. Impassible roads due to flooding.,11-Dec-14,2014,1,1.76403E+13,Lake
Lakeport Community Day,Lakeport Unified,2010-11,5,Natural Disasters & Weather,Inclement Weather,Heavy snow and impassable roads,25-Feb-11,2011,1,1.76403E+13,Lake
Lakeport Community Day,Lakeport Unified,2014-15,7,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm. Impassible roads due to flooding.,11-Dec-14,2014,1,1.76403E+13,Lake
Lakeport Elementary,Lakeport Unified,2010-11,455,Natural Disasters & Weather,Inclement Weather,Heavy snow and impassable roads,25-Feb-11,2011,1,1.76403E+13,Lake
Lakeport Elementary,Lakeport Unified,2014-15,485,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm. Impassible roads due to flooding.,11-Dec-14,2014,1,1.76403E+13,Lake
Natural High (Continuation),Lakeport Unified,2010-11,30,Natural Disasters & Weather,Inclement Weather,Heavy snow and impassable roads,25-Feb-11,2011,1,1.76403E+13,Lake
Natural High (Continuation),Lakeport Unified,2014-15,25,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm. Impassible roads due to flooding.,11-Dec-14,2014,1,1.76403E+13,Lake
Terrace,Lakeport Unified,2010-11,561,Natural Disasters & Weather,Inclement Weather,Heavy snow and impassable roads,25-Feb-11,2011,1,,Lake
Terrace Middle,Lakeport Unified,2014-15,557,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm. Impassible roads due to flooding.,11-Dec-14,2014,1,1.76403E+13,Lake
Lakeside Elementary,Lakeside Joint,2016-17,86,Natural Disasters & Weather,Inclement Weather,"Due to storm, roads were closed",11-Jan-17,2017,1,4.36949E+13,Santa Clara
Lakeside Elementary,Lakeside Joint,2016-17,86,Natural Disasters & Weather,Inclement Weather,Severe road damage and closures from the storm,"February 8-10, 2017",2017,3,4.36949E+13,Santa Clara
Lakeside,Lakeside Union,2004-05,739,Natural Disasters & Weather,2011 California Windstorm,Flooding resulting in need to cut power.,1-Dec-04,2004,1,1.56355E+13,Kern
Barona Indian Charter,Lakeside Union Elementary,2016-17,97,Natural Disasters & Weather,Inclement Weather,Inclement weather resulted in flooding and road closures,28-Feb-17,2017,1,3.76819E+13,San Diego
Alicante Avenue Elementary,Lamont Elementary,2016-17,1213,Natural Disasters & Weather,Inclement Weather,Storm caused flooding and dangerous driving conditions (State of Emergency),"January 24 and 25, 2017",2017,2,1.56356E+13,Kern
Lamont Elementary,Lamont Elementary,2016-17,754,Natural Disasters & Weather,Inclement Weather,Storm caused flooding and dangerous driving conditions (State of Emergency),"January 24 and 25, 2017",2017,2,1.56356E+13,Kern
Mountain View Middle,Lamont Elementary,2016-17,593,Natural Disasters & Weather,Inclement Weather,Storm caused flooding and dangerous driving conditions (State of Emergency),"January 24 and 25, 2017",2017,2,1.56356E+13,Kern
Myrtle Avenue Elementary,Lamont Elementary,2016-17,515,Natural Disasters & Weather,Inclement Weather,Storm caused flooding and dangerous driving conditions (State of Emergency),"January 24 and 25, 2017",2017,2,1.56356E+13,Kern
Amargosa Creek Middle,Lancaster Elementary,2004-05,1537,Natural Disasters & Weather,Inclement Weather,"Due to flooding, road closures, continuing rain, unsafe conditions, and suspended transportation services, all schools in the SD were closed 1/10/05 and 1/11/05.","January 10 and 11, 2005",2005,2,1.96467E+13,Los Angeles
Amargosa Creek Middle,Lancaster Elementary,2008-09,1077,Natural Disasters & Weather,Inclement Weather,Inclement weather (snow) with road closures.,"December 18 and 19, 2008",2008,2,1.96467E+13,Los Angeles
